Date,AAPL,AMZN,GOOG,META,MSFT
2012-05-18,16.01468,10.6925,14.93695,38.1516,23.4861
2012-05-21,16.9477,10.9055,15.27803,33.96021,23.87125
2012-05-22,16.81756,10.7665,14.9469,30.93643,23.87927
2012-05-23,17.22791,10.864,15.16235,31.93438,23.35771
2012-05-24,17.06969,10.762,15.01805,32.96227,23.32562
2012-05-25,16.97819,10.6445,14.71628,31.84456,23.31759
2012-05-29,17.27954,10.7375,14.78619,28.78086,23.71878
2012-05-30,17.48789,10.4615,14.63418,28.13219,23.54226
2012-05-31,17.44441,10.6455,14.45083,29.5393,23.4219
2012-06-01,16.93895,10.411,14.20503,27.66315,22.82813
2012-06-04,17.0386,10.7285,14.39435,26.84484,22.90837
2012-06-05,16.99451,10.6605,14.19085,25.81695,22.87628
2012-06-06,17.25508,10.882,14.44361,26.75502,23.55028
2012-06-07,17.26294,10.94,14.3854,26.25604,23.454
2012-06-08,17.52261,10.924,14.44063,27.04443,23.79101
2012-06-11,17.24633,10.825,14.14333,26.95461,23.18921
2012-06-12,17.397,10.821,14.05875,27.34381,23.50214
2012-06-13,17.27622,10.7365,13.95898,27.21408,23.37376
2012-06-14,17.2572,10.7225,13.90823,28.23199,23.54226
2012-06-15,17.3357,10.9175,14.04407,29.94846,24.08789
2012-06-18,17.68748,11.133,14.2018,31.34559,23.94346
2012-06-19,17.73669,11.2015,14.4675,31.84456,24.63352
2012-06-20,17.68627,11.151,14.36749,31.5352,24.81807
2012-06-21,17.4426,11.0285,14.06148,31.77471,24.18418
2012-06-22,17.57636,11.108,14.21747,32.98222,24.63352
2012-06-25,17.23425,11.0035,13.94928,31.99425,23.96753
2012-06-26,17.2723,11.2805,14.0483,33.03212,24.08789
2012-06-27,17.34688,11.281,14.16323,32.16391,24.20826
2012-06-28,17.18232,11.0655,14.03909,31.29569,23.99963
2012-06-29,17.63373,11.4175,14.43117,31.03622,24.54526
2012-07-02,17.89099,11.466,14.44113,30.7069,24.52118
2012-07-03,18.09903,11.4765,14.62423,31.13602,24.68167
2012-07-05,18.41698,11.353,14.8255,31.40546,24.63352
2012-07-06,18.29439,11.2525,14.57821,31.66493,24.2243
2012-07-09,18.53625,11.2525,14.57895,32.10403,24.07184
2012-07-10,18.36475,10.975,14.47173,31.40546,23.86322
2012-07-11,18.25061,10.9185,14.21026,30.90649,23.51017
2012-07-12,18.08363,10.768,14.19259,30.74682,22.97256
2012-07-13,18.26691,10.9195,14.34286,30.657,23.58239
2012-07-16,18.32549,10.8005,14.30305,28.19207,23.6225
2012-07-17,18.3264,10.8465,14.34808,28.0324,23.79903
2012-07-18,18.30587,10.8735,14.44834,29.0503,24.43293
2012-07-19,18.54923,11.3085,14.75434,28.94053,24.60945
2012-07-20,18.24668,11.4145,15.19618,28.70102,24.16813
2012-07-23,18.23249,11.3005,15.31286,28.69104,23.49413
2012-07-24,18.14462,11.152,15.11533,28.39166,23.38981
2012-07-25,17.36106,10.8525,15.12578,29.27983,23.13304
2012-07-26,17.35836,11.0005,15.25937,26.79494,23.39783
2012-07-27,17.66875,11.866,15.79675,23.66138,23.87927
2012-07-30,17.96677,11.8045,15.73057,23.10253,23.78298
2012-07-31,18.44174,11.665,15.74724,21.66548,23.64658
2012-08-01,18.32248,11.6045,15.74002,20.83718,23.59843
2012-08-02,18.35206,11.5405,15.64225,19.99891,23.4219
2012-08-03,18.59091,11.7485,15.95522,21.04675,23.87125
2012-08-06,18.79774,11.6995,15.99229,21.87505,24.03173
2012-08-07,18.74822,11.828,15.93557,20.67751,24.28047
2012-08-08,18.71651,11.719,15.97761,20.67751,24.33664
2012-08-09,18.82325,11.703,15.9806,20.96692,24.47304
2012-08-10,18.85267,11.6375,15.97189,21.76527,24.40885
2012-08-13,19.10436,11.622,16.41995,21.5557,24.38478
2012-08-14,19.15561,11.6595,16.63515,20.33821,24.33631
2012-08-15,19.12952,11.871,16.60728,21.15652,24.39285
2012-08-16,19.29662,12.0775,16.73988,19.82925,24.86133
2012-08-17,19.65354,12.0585,16.84612,19.01093,24.95826
2012-08-20,20.17026,12.0175,16.80631,19.96897,24.82901
2012-08-21,19.89461,11.9725,16.65629,19.12071,24.87748
2012-08-22,20.28307,12.155,16.84711,19.40013,24.66748
2012-08-23,20.09385,12.06,16.83766,19.40013,24.44132
2012-08-24,20.11174,12.287,16.88318,19.3702,24.68363
2012-08-27,20.48958,12.196,16.64908,19.11073,24.78862
2012-08-28,20.46289,12.3055,16.84885,19.30034,24.74017
2012-08-29,20.42256,12.356,17.11654,19.06083,24.75632
2012-08-30,20.13145,12.311,16.95906,19.05085,24.48978
2012-08-31,20.17299,12.4135,17.0439,18.02296,24.89364
2012-09-04,20.46805,12.394,16.94314,17.69364,24.54632
2012-09-05,20.32432,12.311,16.93518,18.5419,24.54632
2012-09-06,20.50747,12.569,17.39991,18.92112,25.32172
2012-09-07,20.63393,12.957,17.56784,18.94108,24.99864
2012-09-10,20.09718,12.8545,17.43399,18.77143,24.81286
2012-09-11,20.03198,12.7835,17.22053,19.39016,24.86941
2012-09-12,20.31097,12.7815,17.18794,20.88708,24.86133
2012-09-13,20.71094,13.012,17.5651,20.66753,24.99056
2012-09-14,20.96264,13.0635,17.65565,21.95488,25.20864
2012-09-17,21.22039,12.9,17.66312,21.47587,25.20864
2012-09-18,21.28499,12.9375,17.86961,21.82515,25.18441
